"Galaxy name" "RAJ2000 (deg)" "DEJ2000 (deg)" "D25 semi-major axis (arcmin)" "D25 semi-minor axis (arcmin)" "D25 positional angle, North-to-Northeast (deg)" "Inclination angle (deg)" "Luminosity distance (Mpc)" logSFR_HEC logM_HEC mean_exposure_Hr
NGC3395 162.458791 32.982833 0.8 0.444 40.5 57.84 19.6407 -1.04 9.7966 15.84
PGC032455 162.529014 16.297835 0.431 0.232 113.8 58.99 2.6948 -2.49 7.3638 15.49
NGC3413 162.836406 32.766381 1.009 0.424 177.4 90.0 15.8324 -0.767 9.3383 8.3
NGC3418 162.849784 28.112021 0.552 0.469 76.9 34.41 20.258 -0.796 9.7244 12.4
PGC032630 163.089103 17.935265 0.537 0.313 18.4 63.25 20.2671 -1.579 9.2149 17.06
UGC05989 163.132668 19.792287 0.714 0.231 124.9 90.0 16.0694 -1.031 8.7764 19.18
PGC032664 163.202681 0.034526 0.251 0.18 67.9 49.88 20.797 -1.346 8.6154 16.05
PGC032843 163.935207 17.005011 0.313 0.313 0.0 26.5 18.5534 -1.375 8.6844 16.06
PGC032902 164.21275 77.716417 0.371 0.151 138.0 68.15 3.693 -2.729 7.778 83.13
NGC3495 165.317483 3.628104 2.328 0.502 19.9 82.51 18.2393 -0.402 10.1804 17.17
NGC3504 165.796792 27.972307 1.239 1.239 0.0 26.38 13.5519 0.342 10.1856 17.45
NGC3507 165.855792 18.135333 1.459 1.253 93.2 31.88 14.7425 -0.685 10.2144 14.97
NGC3510 165.930807 28.887132 0.774 0.354 162.8 78.1 16.0211 -0.999 9.1818 16.36
PGC033523 166.38552 17.639609 0.766 0.307 23.8 69.73 17.6661 -1.446 8.8039 17.63
NGC3556 167.8789 55.674268 1.991 0.83 79.0 67.53 9.9017 0.321 10.4058 30.63
IC0676 168.165926 9.055782 0.923 0.653 0.1 51.39 20.0447 -0.076 9.9552 13.53
NGC3593 168.654025 12.817829 2.344 0.925 90.6 86.88 8.7723 -0.118 10.1502 17.44
NGC3600 168.966675 41.59112 0.937 0.295 3.5 87.65 15.2141 -0.727 9.5145 22.35
PGC034439 169.25126 50.584781 0.379 0.329 42.4 34.35 16.9232 -1.726 8.4747 28.35
UGC06300 169.3209 16.327139 0.57 0.33 72.1 90.0 17.7968 -1.654 8.5419 12.87
PGC034522 169.491825 17.441354 0.446 0.391 156.8 35.73 13.8404 -2.071 8.9661 13.98
UGC06320 169.571857 18.847079 0.673 0.673 0.0 21.98 18.611 -0.599 9.3032 17.1
NGC3666 171.108575 11.342144 1.722 0.494 97.5 77.85 17.9842 -0.185 10.0494 17.0
IC0692 171.472863 9.987423 0.424 0.279 118.3 90.0 17.2187 -1.152 9.0424 17.61
NGC3675 171.534275 43.586489 2.951 1.637 178.3 59.52 15.4792 0.379 10.8683 23.54
IC2828 171.795561 8.731099 0.506 0.222 51.5 81.32 14.1906 -1.409 8.4022 9.34
NGC3686 171.933141 17.224116 1.452 1.107 19.2 41.7 18.2477 -0.052 10.3406 14.98
UGC06526 173.164385 35.32836 0.818 0.169 87.2 83.42 15.4882 -0.834 9.1687 22.08
NGC3726 173.338209 47.029083 2.825 1.849 14.2 50.47 13.9402 0.037 10.4085 21.76
NGC3738 173.953333 54.524444 1.132 0.813 156.4 50.0 4.9278 -1.671 8.7845 29.01
NGC3769 174.433757 47.893123 1.462 0.457 150.2 78.5 13.9365 -0.474 9.8399 25.87
NGC3769A 174.459418 47.881801 0.571 0.177 109.3 90.0 15.5086 -1.644 8.7228 26.25
PGC036066 174.648627 57.8742 0.25 0.194 153.6 43.86 18.2653 -1.216 7.6207 24.69
UGC06628 175.027811 45.942918 1.069 0.927 79.8 33.19 16.9824 -1.205 8.4788 25.68
NGC3810 175.244841 11.471119 1.675 1.143 28.5 48.22 16.1984 0.393 10.469 17.85
UGC06667 175.609542 51.597995 0.615 0.223 86.7 71.28 18.8432 -1.211 9.1147 6.77
UGC06670 175.622388 18.33306 0.76 0.257 154.0 90.0 17.2187 -0.875 9.338 12.08
PGC036653 176.40395 31.29957 0.397 0.234 22.8 58.76 16.0694 -0.493 9.0701 17.3
NGC3870 176.48585 50.199801 0.521 0.373 22.5 49.69 12.484 -0.957 9.0955 27.96
NGC3877 176.53245 47.494712 2.691 0.614 36.2 83.52 15.5345 0.172 10.5766 24.95
UGC06756 176.756665 57.09253 0.653 0.292 63.3 73.3 16.4259 -1.5 8.5044 25.36
NGC3893 177.159112 48.710766 1.346 0.714 160.9 59.88 17.3812 0.469 10.5546 24.1
NGC3896 177.234706 48.674771 0.708 0.441 128.4 55.43 17.9366 -1.144 9.0791 26.3
NGC3912 177.518611 26.479193 0.753 0.333 3.8 68.11 20.707 0.064 9.8826 6.84
UGC06805 177.551105 42.074632 0.305 0.232 121.1 45.24 20.1038 -0.865 9.2502 23.24
NGC3913 177.662241 55.353889 0.822 0.698 151.5 32.42 16.9824 -1.049 9.372 23.75
NGC3917 177.689449 51.824457 2.317 0.526 76.4 82.13 16.9928 -0.634 10.172 24.04
NGC3931 177.806015 52.000865 0.566 0.445 156.9 47.46 17.872 -1.179 9.494 15.53
NGC3930 177.941022 38.014949 1.33 0.988 38.1 43.01 12.6744 -1.241 8.9626 18.56
NGC3928 177.94848 48.683144 0.684 0.684 0.0 27.97 15.6577 -0.428 9.7506 25.97
NGC3949 178.423842 47.858768 1.13 0.667 116.4 56.03 18.6889 0.364 10.3324 25.97
IC0745 178.55113 0.136644 0.389 0.389 0.0 15.41 18.8273 -0.429 9.4025 18.11
NGC3972 178.937894 55.320726 1.795 0.489 117.5 81.12 20.5932 -0.379 10.0183 27.73
NGC3985 179.175534 48.333948 0.562 0.368 67.3 56.21 16.6797 -0.589 9.5332 23.5
UGC06923 179.206623 53.160346 0.477 0.346 174.2 49.32 16.708 -1.168 9.147 12.46
UGC06930 179.322396 49.283283 0.706 0.634 23.3 26.54 16.9824 -0.731 9.2252 11.55
