Galaxy name	RAJ2000 (deg)	DEJ2000 (deg)	D25 semi-major axis (arcmin)	D25 semi-minor axis (arcmin)	D25 positional angle, North-to-Northeast (deg)	Inclination angle (deg)	Luminosity distance (Mpc)	logSFR_HEC	logM_HEC	mean_exposure_Hr
NGC1159	45.193833	43.162528	0.238	0.201	115.0	33.16	19.3197	-0.464	9.2831	12.93
UGC02689	50.3655	40.801639	0.555	0.421	126.8	47.74	4.8438	-2.342	8.4732	17.41
PGC012793	51.324542	41.902556	0.262	0.138	174.5	59.9	1.943	-3.634	7.0877	24.0
UGC02773	53.03033	47.794058	0.537	0.422	130.5	42.98	4.4055	-1.499	8.6124	21.74
IC0356	61.945416	69.812417	2.009	2.009	0.0	22.4	20.4431	0.479	11.4363	49.71
NGC1637	70.367458	-2.857917	1.588	1.371	20.6	31.1	12.3695	-0.1	10.2259	11.84
UGC03574	103.293541	57.17775	0.74	0.74	0.0	21.85	19.5914	-0.806	9.5957	31.85
NGC2537	123.311287	45.990122	1.035	1.035	0.0	20.87	9.0365	-0.85	9.4592	19.65
NGC2541	123.66717	49.061624	1.51	0.8	169.9	59.55	11.9234	-0.894	9.3476	24.01
UGC04314	124.740603	58.262737	0.502	0.369	177.9	48.31	19.0168	-1.544	8.9061	32.55
UGC04393	126.518238	45.967615	0.796	0.527	50.3	49.86	13.5933	-0.977	9.009	23.22
NGC2681	133.38633	51.313765	1.986	1.986	0.0	0.0	16.4958	-0.098	10.692	28.24
NGC2750	136.44968	25.43749	1.016	0.728	81.5	45.41	11.2155	-0.556	9.4616	20.05
PGC026326	139.717562	50.187877	0.337	0.292	75.2	43.47	12.7582	-2.04	8.3959	28.01
PGC026462	140.276667	70.698306	0.308	0.251	35.0	47.04	17.1748	-0.32	9.3914	34.41
UGC05151	145.112572	48.337665	0.33	0.28	15.8	35.59	15.1152	-1.075	8.9664	21.34
NGC3049	148.706706	9.271404	1.054	0.608	27.8	58.02	18.9111	-0.307	9.8008	13.84
IC2520	149.083804	27.227612	0.439	0.37	56.7	35.28	19.7059	-0.122	9.6692	17.72
NGC3077	150.828609	68.73411	2.606	2.158	48.7	34.78	3.8046	-0.954	9.3864	46.78
PGC029198	151.036375	6.510487	0.22	0.143	175.2	56.63	10.5196	-2.312	7.94	6.43
NGC3057	151.413632	80.285686	0.723	0.458	8.0	58.32	17.0993	-1.03	9.0068	101.41
NGC3166	153.440411	3.424825	2.249	1.422	87.2	56.17	19.5333	0.077	10.9284	11.25
UGC05588	155.238074	25.364921	0.277	0.19	40.5	47.9	20.3932	-0.558	9.4398	16.8
NGC3239	156.270305	17.163701	1.807	1.807	0.0	46.77	8.0538	-0.969	8.7568	17.94
PGC030770	156.923086	24.271664	0.268	0.233	47.5	33.0	19.6355	-1.774	8.1645	17.64
UGC05720	158.132847	54.401041	0.571	0.429	129.3	46.74	15.417	-0.278	9.4352	29.46
UGC05832	160.70197	13.459861	0.547	0.376	90.4	48.29	18.6209	-0.995	9.0036	15.98
NGC3353	161.343312	55.960365	0.679	0.489	75.7	45.47	18.1134	-0.082	9.4534	30.1
NGC3359	161.65347	63.224151	2.037	1.416	167.4	47.16	19.7722	0.223	10.3745	27.47
NGC3395	162.458791	32.982833	0.8	0.444	40.5	57.84	19.6407	-1.04	9.7966	15.84
PGC032455	162.529014	16.297835	0.431	0.232	113.8	58.99	2.6948	-2.49	7.3638	15.49
NGC3418	162.849784	28.112021	0.552	0.469	76.9	34.41	20.258	-0.796	9.7244	12.4
